University Name,Level,Program Name,Program URL,Start Date
Beijing Institute of Technology,Non-degree,Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/chinese-language-program-beijing-institute-technology/,September or March
Beijing Institute of Technology,Non-degree,Pre-University Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/pre-university-chinese-language-program-beijing-institute-technology/,September or March
Beijing Institute of Technology,Non-degree,VIP Chinese Language Program,https://www.china-admissions.com/beijing-institute-technology/programs/chinese-language-programs-beijing-institute-technology/vip-chinese-program-beijing-institute-technology/,Any time of year
Beijing Language and Culture University,Non-degree,1 on 1 Chinese Online Skype Classes,https://www.china-admissions.com/beijing-language-culture-university/1-1-online-chinese-programs/,Any time of year
Central Academy of Drama,Non-degree,Chinese Language Program,https://www.china-admissions.com/central-academy-drama/chinese-program-central-academy-drama/,September or March
Central Academy of Drama,Non-degree,Chinese Language Program,https://www.china-admissions.com/central-academy-drama/chinese-program-central-academy-drama/,September or March
Central China Normal University,Non-degree,Chinese Language Programs,https://www.china-admissions.com/ccnu-central-china-normal-university/programs/non-degree/chinese-language-program/,September or February
Central China Normal University,Non-degree,Chinese Language Programs,https://www.china-admissions.com/ccnu-central-china-normal-university/programs/non-degree/chinese-language-program/,September or February
China University of Political Science and Law,Bachelor's,Law Degree in Chinese Law (in Chinese),http://www.lawschoolchina.com/programs/degree-in-chinese-law,September
China University of Political Science and Law,Master's,LLM in International Law,http://www.lawschoolchina.com/llm,September or February
China University of Political Science and Law,Master's,LLM in Chinese Law,http://www.lawschoolchina.com/llm-in-chinese-law,September or February
China University of Political Science and Law,Summer,Chinese Law,http://www.lawschoolchina.com/china-law-summer-study-program,"May, June, July"
China University of Political Science and Law,Non-degree,Chinese Language Program,http://www.lawschoolchina.com/overview-of-chinese-language-programs/chinese-language-program,February and September
China University of Political Science and Law,Non-degree,Chinese Language Program,http://www.lawschoolchina.com/overview-of-chinese-language-programs/chinese-language-program,February and September
China University of Political Science and Law,Non-degree,Semester Exchange Program in International Law,http://www.lawschoolchina.com/semester-exchange-program,September or February
China University of Political Science and Law,PhD,International Law,http://www.lawschoolchina.com/phd,September or February
Huazhong University of Science and Technology,Bachelor's,Mechanical Design Manufacture and Automation,http://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/bachelors-mechanical-design-manufacture-automation-hust/,September or February
Huazhong University of Science and Technology,Bachelor's,Pharmacy,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/bachelors-pharmacy-hust/,September
Huazhong University of Science and Technology,Bachelor's,Telecommunications Engineering,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/bachelors-telecommunications-engineering-hust/,September or February
Huazhong University of Science and Technology,Bachelor's,MBBS Medicine,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/bachelors/mbbs-medicine-hust/,September
Huazhong University of Science and Technology,Master's,Accounting,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-accounting-hust/,September or February
Huazhong University of Science and Technology,Master's,Administrative Management,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-administrative-management-hust/,September or February
Huazhong University of Science and Technology,Master's,Anesthesiology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-anesthesiology-hust/,September or February
Huazhong University of Science and Technology,Master's,Architecture,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-architecture-hust/,September or February
Huazhong University of Science and Technology,Master's,Biochemistry and Molecular Biology,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-biochemistry-molecular-biology-hust/,September or February
Huazhong University of Science and Technology,Master's,Biomedical Engineering,https://www.china-admissions.com/hust-huazhong-university-science-technology/programs/masters/masters-biomedical-engineering-hust/,September or February
